Table_name,Table_description,Field_name,Field_description,Mapping
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",dischtime,Timestamp recording the exact date and time the patient was officially discharged from the hospital.,['Encounter.period']
hcpcsevents,Billed events occurring during the hospitalization. Includes CPT codes.,hcpcs_cd,Five-character HCPCS/CPT code that uniquely identifies a billable procedure or service performed during the patient's hospitalization.,['Encounter.type']
hcpcsevents,Billed events occurring during the hospitalization. Includes CPT codes.,short_description,Brief textual description of the clinical service or procedure represented by the associated HCPCS code billed during hospitalization.,['Encounter.type']
services,"The services table describes the service that a patient was admitted under. While a patient can be physicially located at a given ICU type (say MICU), they are not necessarily being cared for by the team which staffs the MICU. This can happen due to a number of reasons, including bed shortage. The services table should be used if interested in identifying the type of service a patient is receiving in the hospital. For example, if interested in identifying surgical patients, the recommended method is searching for patients admitted under a surgical service. Each service is listed in the table as an abbreviation - this is exactly how the data is stored in the hospital database. For user convenience, we have provided a description of each service type.",curr_service,Abbreviated code identifying the clinical service (e.g. surgical or medical) under which the patient is currently being managed regardless of physical ICU location.,['Encounter.serviceType']
transfers,Physical locations for patients throughout their hospital stay.,careunit,Name or type of the clinical unit (e.g. ICU or ward) where the patient was physically located during a transfer segment of their hospital stay.,"['Location.name','Location.identifier','Encounter.location']"
transfers,Physical locations for patients throughout their hospital stay.,intime,Date and time the patient was transferred into the current care unit during their hospital stay.,['Encounter.location.period']
transfers,Physical locations for patients throughout their hospital stay.,outtime,Date and time the patient was transferred out of the current physical care unit during their hospital stay.,['Encounter.location.period']
icustays,Tracking information for ICU stays including admission and discharge times.,stay_id,Unique identifier assigned to each distinct ICU stay for a patient used to track ICU admission and discharge events.,['Encounter.identifier']
icustays,Tracking information for ICU stays including admission and discharge times.,first_careunit,The first ICU unit type in which the patient was cared for at the beginning of their ICU stay.,['Encounter.location']
icustays,Tracking information for ICU stays including admission and discharge times.,intime,Date and time the patient was admitted to the ICU marking the start of the tracked ICU stay.,['Encounter.period']
icustays,Tracking information for ICU stays including admission and discharge times.,outtime,Date and time the patient was discharged from the ICU marking the end of the tracked ICU stay.,['Encounter.period']
icustays,Tracking information for ICU stays including admission and discharge times.,subject_id,Unique identifier for the patient associated with a specific ICU stay record.,['Encounter.subject']
icustays,Tracking information for ICU stays including admission and discharge times.,hadm_id,Identifier for the broader hospital admission within which the ICU stay occurred.,['Encounter.partOf']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,subject_id,Unique identifier for the patient who received the medication administration recorded by bedside nursing staff.,['MedicationAdministration.subject']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,hadm_id,Identifier for the hospital admission during which the medication was administered and recorded in the EMAR system.,['MedicationAdministration.context']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,charttime,Timestamp at which the bedside nurse recorded the administration of a medication to the patient via barcode scan.,['MedicationAdministration.effective[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",pharmacy_id,Identifier linking a specific medication administration event in EMAR to its corresponding pharmacy order and dispensing information.,['MedicationAdministration.request']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",site,Anatomical site on the patient's body where the medication was administered as documented in the EMAR detail record.,['MedicationAdministration.dosage.site']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",route,Clinical route by which the medication was physically administered to the patient (e.g. oral or intravenous).,['MedicationAdministration.dosage.route']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",event_txt,Free-text notes or comments entered by nursing staff to describe or qualify a specific medication administration event.,['MedicationAdministration.dosage.route']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",infusion_rate,Numeric rate at which a medication was continuously infused into the patient as recorded in the EMAR detail.,['MedicationAdministration.dosage.rate[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",infusion_rate_unit,Unit of measurement (e.g. mL/hr) associated with the infusion rate recorded for a medication administration.,['MedicationAdministration.dosage.rate[x]']
emar_detail,"The emar_detail table contains information for each medicine administration made in the EMAR table. Information includes the associated pharmacy order, the dose due, the dose given, and many other parameters associated with the medical administration.",product_code,Coded identifier for the specific medication product administered to the patient as recorded in the EMAR system.,['MedicationAdministration.medication[x]']
emar,The EMAR table is used to record administrations of a given medicine to an individual patient. Records in this table are populated by bedside nursing staff scanning barcodes associated with the medicine and the patient.,medication,Name of the medication administered to the patient as scanned and recorded by bedside nursing staff in the EMAR system.,['MedicationAdministration.medication[x]']
poe,Provider order entry (POE) is the general interface through which care providers at the hospital enter orders. Most treatments and procedures must be ordered via POE.,order_type,Category of clinical order entered through the provider order entry system (e.g. medication or procedure).,['MedicationAdministration.medication[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,subject_id,Unique identifier for the patient receiving the continuous infusion or intermittent drug administration documented in the ICU.,['MedicationAdministration.subject']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,stay_id,Unique identifier for the ICU stay during which the continuous infusion or intermittent administration was documented.,['MedicationAdministration.context']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,starttime,Timestamp marking the beginning of a continuous infusion or intermittent drug administration event in the ICU.,['MedicationAdministration.effective[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,rate,Rate at which a drug or fluid was continuously infused into the patient between the recorded start and end times.,"['MedicationAdministration.dosage.rate[x]','MedicationAdministration.effective[x]']"
inputevents,Information documented regarding continuous infusions or intermittent administrations.,endtime,Timestamp marking the end of a continuous infusion or intermittent drug administration event in the ICU.,['MedicationAdministration.effective[x]']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,ordercategorydescription,Text description indicating the role or function of a substance within an infusion solution (e.g. primary or additive).,['MedicationAdministration.dosage.method']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,amount,Total quantity of a drug or fluid administered to the patient during the documented input event expressed in standard units.,['MedicationAdministration.dosage.dose']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,amountuom,Unit of measurement (e.g. mL or mg) for the total amount of substance administered during the ICU input event.,['MedicationAdministration.dosage.dose']
inputevents,Information documented regarding continuous infusions or intermittent administrations.,rateuom,Unit of measurement for the rate of drug or fluid administration during a continuous infusion or intermittent event in the ICU.,['MedicationAdministration.dosage.rate[x]']
d_items,Dimension table describing itemid. Defines concepts recorded in the events table in the ICU module.,itemid,Unique identifier for a clinical concept (e.g. vital sign or medication) as recorded across ICU event tables.,"['Observation.code','MedicationAdministration.medication[x]']"
d_items,Dimension table describing itemid. Defines concepts recorded in the events table in the ICU module.,label,Human-readable name describing the clinical concept represented by the itemid in the ICU events module.,"['Observation.code','Procedure.code','MedicationAdministration.medication[x]']"
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",pharmacy_id,Unique identifier for a pharmacy dispensing record linking the filled prescription to its associated medication administrations and orders.,"['MedicationDispense.identifier','MedicationDispense.authorizingPrescription']"
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",medication,Name of the medication that was dispensed to the patient as part of the filled prescription record.,['MedicationDispense.medication[x]']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",subject_id,Unique identifier for the patient for whom the medication was dispensed and the pharmacy record was created.,['MedicationDispense.subject']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",hadm_id,Identifier for the hospital admission during which the medication was dispensed and the pharmacy record was generated.,['MedicationDispense.context']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",fill_quantity,The proportion or number of formulary doses dispensed to the patient relative to the total prescribed quantity.,['MedicationDispense.quantity']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",route,The intended route of administration (e.g. oral or IV) specified in the dispensed prescription.,['MedicationDispense.dosageInstruction']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",frequency,The prescribed dosing frequency indicating how often the dispensed medication should be administered to the patient.,['MedicationDispense.dosageInstruction']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",duration,The prescribed length of time over which the dispensed medication dose should be administered to the patient.,['MedicationDispense.dosageInstruction']
pharmacy,"The pharmacy table provides detailed information regarding filled medications which were prescribed to the patient. Pharmacy information includes the dose of the drug, the number of formulary doses, the frequency of dosing, the medication route, and the duration of the prescription.",one_hr_max,The maximum allowable dose of the dispensed medication that may be administered to the patient within any single hour.,['MedicationDispense.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",pharmacy_id,Identifier linking the prescription record to the corresponding pharmacy dispensing entry and EMAR administration events.,['MedicationRequest.identifier']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",subject_id,Unique identifier for the patient to whom the medication was prescribed.,['MedicationRequest.subject']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",hadm_id,Identifier for the hospital admission during which the medication prescription was issued.,['MedicationRequest.encounter']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",drug_code,Coded identifier (e.g. GSN or NDC) for the specific medication product that was prescribed to the patient.,['MedicationRequest.medication[x]']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",status,"Current lifecycle state of the medication order indicating whether it is active, discontinued, or completed.",['MedicationRequest.status']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",entertime,Timestamp recording when the medication order was entered into the prescriptions system by the clinician.,['MedicationRequest.authoredOn']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",prod_strength,Free-text description of the concentration and composition of the prescribed medication product (e.g. 250mg/5mL).,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",route,The prescribed route of administration (e.g. oral or intravenous) specified in the medication order.,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",dose_val_rx,Numeric value of the dose prescribed for the patient to be administered over the specified time period.,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",dose_unit_rx,Unit of measurement (e.g. mg or mL) corresponding to the prescribed dose value for the medication.,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",frequency,The prescribed administration frequency indicating how often the medication should be given to the patient.,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",duration,The intended total duration for which the prescribed medication course should be administered to the patient.,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",one_hr_max,The prescribed upper limit on the total dose of the medication that may be administered within a single hour.,['MedicationRequest.dosageInstruction']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",starttime,The prescribed date and time from which the medication order becomes valid and administration should begin.,['MedicationRequest.dispenseRequest.validityPeriod']
prescriptions,"The prescriptions table provides information about prescribed medications. Information includes the name of the drug, coded identifiers including the Generic Sequence Number (GSN) and National Drug Code (NDC), the product strength, the formulary dose, and the route of administration.",stoptime,The prescribed date and time at which the medication order expires and administration should cease.,['MedicationRequest.dispenseRequest.validityPeriod']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",labevent_id,Unique integer identifier for each individual laboratory result record in the labevents table.,['Observation.identifier']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",status,"Current processing state of the laboratory test result (e.g. completed, canceled, or in progress).",['Observation.status']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",subject_id,Unique identifier for the patient from whom the biological specimen was collected for laboratory analysis.,"['Observation.subject','Specimen.subject']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",hadm_id,Identifier for the hospital admission during which the laboratory measurement was ordered and performed.,['Observation.encounter']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",specimen_id,Unique identifier for the biological specimen from which a specific laboratory measurement was derived.,"['Observation.specimen','Specimen.identifier']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",charttime,Timestamp at which the laboratory result was charted or the specimen was collected for testing.,"['Observation.effective[x]','Specimen.collection.collected[x]']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",storetime,Timestamp at which the laboratory result was stored and became available within the hospital laboratory information system.,['Observation.issued']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",valuenum,Numeric result of a laboratory test (e.g. hematology or blood gas measurement) expressed in standardized units.,['Observation.value[x]']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",valueuom,Unit of measurement associated with the laboratory test result value (e.g. mg/dL or mmol/L).,"['Observation.referenceRange.high','Observation.value[x]','Observation.referenceRange.low']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",value,Result of a laboratory test expressed as a string including both numeric and categorical outcomes (e.g. hematology or chemistry panel results).,['Observation.value[x]']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",comments,De-identified free-text comments added by laboratory staff in association with a specific lab measurement result.,"['Observation.note','Observation.value[x]']"
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",flag,Brief indicator flag used to signal whether a laboratory result falls outside the normal reference range (e.g. abnormal or critical).,['Observation.interpretation']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",ref_range_lower,Lower bound of the normal reference range for a laboratory measurement used to assess whether a result is within expected limits.,['Observation.referenceRange.low']
labevents,"The labevents table stores the results of all laboratory measurements made for a single patient. These include hematology measurements, blood gases, chemistry panels, and less common tests such as genetic assays.",ref_range_upper,Upper bound of the normal reference range for a laboratory measurement used to assess whether a result is within expected limits.,['Observation.referenceRange.high']
d_labitems,"Laboratory data contains information collected and recorded in the hospital laboratory database. This includes measurements made in wards within the hospital and clinics outside the hospital. Most concepts in this table have been mapped to LOINC codes, an openly available ontology which facilitates interoperability.",itemid,Unique identifier for a laboratory concept mapped to LOINC codes enabling interoperability across hospital and clinic laboratory systems.,['Observation.code']
d_labitems,"Laboratory data contains information collected and recorded in the hospital laboratory database. This includes measurements made in wards within the hospital and clinics outside the hospital. Most concepts in this table have been mapped to LOINC codes, an openly available ontology which facilitates interoperability.",label,Human-readable name describing the laboratory concept associated with the itemid and its LOINC mapping.,['Observation.code']
microbiologyevents,Microbiology cultures.,subject_id,Unique identifier for the patient from whom a biological specimen was collected for microbiology culture testing.,"['Observation.subject','Specimen.subject']"
microbiologyevents,Microbiology cultures.,hadm_id,Identifier for the hospital admission during which the microbiology culture specimen was collected and tested.,['Observation.encounter']
microbiologyevents,Microbiology cultures.,micro_specimen_id,Unique identifier for the biological specimen submitted for microbiology culture and sensitivity testing.,"['Observation.specimen','Specimen.identifier']"
microbiologyevents,Microbiology cultures.,test_itemid,Coded identifier for the specific microbiology test performed on the collected specimen.,['Observation.code']
microbiologyevents,Microbiology cultures.,test_name,Name of the microbiological test performed on the specimen to detect bacterial or fungal growth.,['Observation.code']
microbiologyevents,Microbiology cultures.,charttime,Timestamp at which the microbiology culture observation was charted or the specimen was collected.,"['Observation.effective[x]','Specimen.collection.collected[x]']"
microbiologyevents,Microbiology cultures.,org_itemid,"Coded identifier for the microorganism that grew during culture testing, or NULL if no growth was detected.","['Observation.code','Observation.hasMember','Observation.value[x]']"
microbiologyevents,Microbiology cultures.,org_name,"Name of the microorganism identified during culture testing, or NULL if no organism was detected.",['Observation.code']
microbiologyevents,Microbiology cultures.,microevent_id,Unique integer identifier for each individual microbiology culture event row in the table.,"['Observation.identifier', 'Observation.hasMember']"
microbiologyevents,Microbiology cultures.,ab_itemid,Coded identifier for the antibiotic agent tested against an isolated organism to determine susceptibility.,['Observation.code']
microbiologyevents,Microbiology cultures.,ab_name,Name of the antibiotic tested against the identified organism to assess sensitivity or resistance.,['Observation.code']
microbiologyevents,Microbiology cultures.,storetime,Date and time at which the microbiology culture result was finalized and made available in the clinical system.,['Observation.effective[x]']
microbiologyevents,Microbiology cultures.,comments,De-identified free-text comments associated with a specific microbiology culture result or observation.,['Observation.note']
chartevents,chartevents contains all the charted data available for a patient.,subject_id,Unique identifier for the patient for whom clinical observations and measurements were charted during their stay.,['Observation.subject']
chartevents,chartevents contains all the charted data available for a patient.,stay_id,Unique identifier for the patient ward stay during which the charted clinical observation was recorded.,['Observation.encounter']
chartevents,chartevents contains all the charted data available for a patient.,charttime,Timestamp at which a clinical observation or measurement was charted for the patient.,['Observation.effective[x]']
chartevents,chartevents contains all the charted data available for a patient.,storetime,Timestamp at which a charted clinical observation was manually entered or validated by a member of the clinical staff.,['Observation.issued']
chartevents,chartevents contains all the charted data available for a patient.,valuenum,Numeric representation of the charted clinical observation or measurement value for the patient.,['Observation.value[x]']
chartevents,chartevents contains all the charted data available for a patient.,valueuom,Unit of measurement associated with a charted clinical observation value (e.g. bpm or mmHg).,"['Observation.referenceRange.high','Observation.value[x]','Observation.referenceRange.low']"
chartevents,chartevents contains all the charted data available for a patient.,value,Clinical value charted for the concept identified by itemid expressed as a string including both numeric and categorical measurements.,['Observation.value[x]']
chartevents,chartevents contains all the charted data available for a patient.,lownormalvalue,Lower bound of the expected normal range for a charted physiological measurement used as a clinical reference.,['Observation.referenceRange.low']
chartevents,chartevents contains all the charted data available for a patient.,highnormalvalue,Upper bound of the expected normal range for a charted physiological measurement used as a clinical reference.,['Observation.referenceRange.high']
d_items,Dimension table describing itemid. Defines concepts recorded in the events table in the ICU module.,category,Classification category indicating the type of clinical data (e.g. vital signs or labs) that the itemid represents in the ICU events module.,['Observation.category']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,subject_id,Unique identifier for the patient for whom a date-formatted clinical event (e.g. last dialysis date) was documented.,['Observation.subject']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,stay_id,Unique identifier for the patient ward stay during which the date-formatted clinical event was documented.,['Observation.encounter']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,charttime,Timestamp at which the date-formatted clinical observation (e.g. last dialysis) was charted for the patient.,['Observation.effective[x]']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,storetime,Timestamp at which a date-formatted clinical observation was manually entered or validated by a member of the clinical staff.,['Observation.issued']
datetimeevents,Documented information which is in a date format (e.g. date of last dialysis).,value,Date value documenting a specific clinical event or procedure timestamp (e.g. date of last dialysis) for the patient.,['Observation.value[x]']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",subject_id,Unique identifier for the patient from whom clinical output measurements (e.g. urine or drainage) were collected and recorded.,['Observation.subject']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",stay_id,Unique identifier for the ICU stay during which the patient output event (e.g. urine or drainage) was documented.,['Observation.encounter']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",charttime,Timestamp at which a patient output measurement (e.g. urine volume or drainage amount) was recorded.,['Observation.effective[x]']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",storetime,Timestamp at which the output observation was manually entered or validated by a member of the clinical staff.,['Observation.issued']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",value,Measured amount of a patient output substance (e.g. urine or drainage) recorded at the charted time in standard units.,['Observation.value[x]']
outputevents,"Information regarding patient outputs including urine, drainage, and so on.",valueuom,Unit of measurement for the patient output substance amount recorded at charttime (e.g. mL).,['Observation.value[x]']
patients,"Patients' gender, age, and date of death if information exists. Information that is consistent for the lifetime of a patient is stored in this table.",subject_id,Permanent unique identifier assigned to a patient used consistently across all tables for their lifetime record.,['Patient.identifier']
patients,"Patients' gender, age, and date of death if information exists. Information that is consistent for the lifetime of a patient is stored in this table.",anchor_age,The patient's age in years during the anchor year used as a reference point for de-identified temporal data.,['Patient.birthDate']
patients,"Patients' gender, age, and date of death if information exists. Information that is consistent for the lifetime of a patient is stored in this table.",dod,De-identified date of death for the patient if deceased as recorded in the lifetime patient record.,['Patient.deceased[x]']
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",marital_status,Marital status of the patient as recorded at the time of hospital admission for demographic purposes.,['Patient.maritalStatus']
admissions,"The admissions table gives information regarding a patient's admission to the hospital. Since each unique hospital visit for a patient is assigned a unique hadm_id, the admissions table can be considered as a definition table for hadm_id. Information available includes timing information for admission and discharge, demographic information, the source of the admission, and so on.",language,Primary language spoken by the patient as recorded for communication purposes during the hospital admission.,['Patient.communication.language']
